Source,Target,Weight
Star Butterfly,Marco Diaz,9
Star Butterfly,Pony Head,7
Star Butterfly,Hekapoo,6
Star Butterfly,Ludo,5
Star Butterfly,Moon Butterfly,10
Star Butterfly,River Butterfly,10
Star Butterfly,Glossaryck,10
Star Butterfly,Tom,5
Star Butterfly,Oskar Greason,3
Star Butterfly,Brittney Wong,3
Star Butterfly,Buff Frog,6
Marco Diaz,Pony Head,3
Marco Diaz,Ludo,6
Marco Diaz,Tom,3
Marco Diaz,Jackie,7
Marco Diaz,Globgor,2
Marco Diaz,Toffee,5
Marco Diaz,Janna,7
Moon Butterfly,Mina Loveberry,4
Moon Butterfly,Hekapoo,7
Moon Butterfly,Miss Heinous,4
Moon Butterfly,Toffee,7
Ludo,Buff Frog,8
Ludo,Toffee,5
Moon Butterfly,Eclipsa Butterfly,7
Star Butterfly,Eclipsa Butterfly,10
Marco Diaz,Angie Diaz,10
Marco Diaz,Rafael Diaz,10
Pony Head,King Pony Head,10
